Desa JOHO Kecamatan PRAMBANAN Kabupaten KLATEN,village,-7.716647935500315,110.51339137311504
Desa KALIBENING Kecamatan DUKUN Kabupaten MAGELANG,village,-7.551854466337195,110.35616500934579
Desa MANGUNSOKO Kecamatan DUKUN Kabupaten MAGELANG,village,-7.533666911083359,110.35458242318536
Desa BATURONO Kecamatan SALAM Kabupaten MAGELANG,village,-7.640740077065877,110.28301120241001
Desa SELOBORO Kecamatan SALAM Kabupaten MAGELANG,village,-7.605565286762626,110.27701918054191
Desa SIRAHAN Kecamatan SALAM Kabupaten MAGELANG,village,-7.6224646133584075,110.27511624925437
Desa TIRTO Kecamatan SALAM Kabupaten MAGELANG,village,-7.620130439554338,110.29237300496598
Desa BANYUROTO Kecamatan SAWANGAN Kabupaten MAGELANG,village,-7.469427216517754,110.39615667889139
Desa GONDOWANGI Kecamatan SAWANGAN Kabupaten MAGELANG,village,-7.5538700384303095,110.28082901257001
Desa KAPUHAN Kecamatan SAWANGAN Kabupaten MAGELANG,village,-7.5064104667803475,110.35717700346277
Desa KROGOWANAN Kecamatan SAWANGAN Kabupaten MAGELANG,village,-7.5379364507919,110.33244460372414
Desa KALIURANG Kecamatan SRUMBUNG Kabupaten MAGELANG,village,-7.584227688697346,110.38701801105113
Desa NGLUMUT Kecamatan SRUMBUNG Kabupaten MAGELANG,village,-7.613918739948443,110.35363868230091
